prefix	count
CDXTexture	244
CTexture	165
CFastVB	147
CUnitAI	108
CUnit	54
CGeneralVolume	45
CEngine	39
CDXEngine	32
CVBufTexture	27
CWorldPhysicsManager	26
CMonitor	21
CMeshCollisionVolume	18
IScript	18
CDestroyableSegment	16
CMeshPart	16
CExplosionInitThing	14
CThing	13
CSquadNormal	12
CSoundManager	11
CWorld	11
CBattleEngine	8
CMesh	8
CPauseMenu	7
CVertexShader	7
CAirUnit	7
CCockpit	6
OID	6
CMessageLog	6
CParticleManager	6
CPlayer	6
CD3DApplication	6
	6
CInfluenceMap	5
CDamage	4
CIBuffer	4
CMCBuggy	4
CWaypoint	4
CFrontEndPage	3
CAtmospheric	3
CDestructableSegment	3