address	name	calls	clues	lines
0040acc0	CBattleEngine__Helper_0040acc0	CBattleEngine__Helper_00509c80, CDXCompass__Helper_004f99f0, CEventManager__AddEvent_AtTime, CGeneralVolume__ctor_like_004098e0, CGeneralVolume__ctor_like_0040b100, CGenericActiveReader__SetReader, CPlayer__GetCurrentViewOrientation, CPlayer__GetCurrentViewPoint, CSquadNormal__Helper_004062d0, Mat34__SetRows	DAT_ PTR_	124
0040b6d0	CBattleEngine__Helper_0040b6d0	CBattleEngine__Helper_004fd3d0, CEventManager__AddEvent_AtTime, CGeneralVolume__ctor_like_004098e0, CGenericActiveReader__SetReader, CMapWhoEntry__GetOwner, CMapWho__GetFirstEntryWithinRadius, CMapWho__GetNextEntryWithinRadius, CUnitAI__GetWorldPositionForTargeting, CUnit__Helper_005096a0, CUnit__Helper_005099a0	0x3f4ccccd DAT_ PTR_	295
00410210	CBattleEngine__Helper_00410210	CSPtrSet_Remove__Wrapper_00412650, CSPtrSet__Init		39
004fd3d0	CBattleEngine__Helper_004fd3d0			41
005061f0	CBattleEngine__Helper_005061f0		DAT_	89
00506350	CBattleEngine__Helper_00506350		DAT_	79
00506440	CBattleEngine__Helper_00506440		DAT_	81
00506530	CBattleEngine__Helper_00506530		DAT_	79
00506620	CBattleEngine__Helper_00506620		DAT_	81
00506710	CBattleEngine__Helper_00506710		DAT_	81
00506800	CBattleEngine__Helper_00506800		DAT_	81
00509c80	CBattleEngine__Helper_00509c80	CBattleEngine__GetTargetSetEntryByIndex, CSPtrSet__First, CSPtrSet__Next, CUnit__Helper_005099a0	DAT_	99
0044eab0	CFEPMultiplayerStart__Helper_0044eab0		DAT_	65
0044eb30	CFEPMultiplayerStart__Helper_0044eb30	CText__GetStringById, Text__AsciiToWideScratch	DAT_ g_	137
0044ecf0	CFEPMultiplayerStart__Helper_0044ecf0		DAT_	39
0044ed40	CFEPMultiplayerStart__Helper_0044ed40	CSPtrSet__First	DAT_	136
0044eea0	CFEPMultiplayerStart__Helper_0044eea0	CSPtrSet__First	DAT_	128
00450460	CFEPMultiplayerStart__Helper_00450460	CDXSurf__RenderSurface	0x3f800000 DAT_	47
00452fd0	CFEPMultiplayerStart__Helper_00452fd0	CDXSurf__RenderSurface, CPDSimpleSprite__Helper_0055e3ea	0x3f800000 DAT_	29
004530b0	CFEPMultiplayerStart__Helper_004530b0	CDXSurf__RenderSurface	0x3f800000 DAT_	25
0046b950	CFEPMultiplayerStart__Helper_0046b950	CDXLandscape__Helper_0055db0a, PCRTID__CreateObject, eh_vector_constructor_iterator		89
0046bab0	CFEPMultiplayerStart__Helper_0046bab0			24
0046bc20	CFEPMultiplayerStart__Helper_0046bc20			14
00527960	CFEPMultiplayerStart__Helper_00527960			12
00441b10	CGame__Helper_00441b10		DAT_	26
00441e40	CGame__Helper_00441e40			12
00441e50	CGame__Helper_00441e50	OID__FreeObject	DAT_	38
00490e30	CGame__Helper_00490e30	CWorld__Helper_0047ea20		53
00490f10	CGame__Helper_00490f10	CFrontEndPage__Init_ReturnTrue		19
004e47e0	CGame__Helper_004e47e0	CParticleManager__CreateEffect, CParticleManager__RemoveFromGlobalList, CWorldPhysicsManager__Helper_004cb040, CWorldPhysicsManager__Helper_004cd7a0, OID__CreateObject	DAT_	93
004e49f0	CGame__Helper_004e49f0	CMapWhoEntry__GetOwner, CMapWho__GetFirstEntryWithinRadius, CMapWho__GetNextEntryWithinRadius	0x3f800000 DAT_	36
004f99b0	CGame__Helper_004f99b0	CMonitor__PlayRandomSampleFromChain	DAT_	17
00402020	CGeneralVolume__Helper_00402020		DAT_	12
00409e60	CGeneralVolume__Helper_00409e60		DAT_	13
004247a0	CGeneralVolume__Helper_004247a0		DAT_	67
00424920	CGeneralVolume__Helper_00424920		DAT_	33
00424990	CGeneralVolume__Helper_00424990		DAT_	33
00506010	CGeneralVolume__Helper_00506010	CEngine__ResolvePresetByPercentBucketFallback, CEngine__SpawnProjectileBurstFromCurrentPreset, CEventManager__AddEvent_AtTime, CMonitor__PlayRandomSampleFromChain, CSPtrSet__First	DAT_	104
00465640	CLTShell__Helper_00465640	CFrontEnd__Helper_0042d7d0	DAT_ g_	35
004a25c0	CLTShell__Helper_004a25c0		DAT_	34
004a52d0	CLTShell__Helper_004a52d0	CMesh__FreeResourcesAndUnlink, CMesh__Helper_004adf90, OID__FreeObject	DAT_	53
004f2a30	CLTShell__Helper_004f2a30	CTexture__Release	DAT_	59
00501450	CLTShell__Helper_00501450	CVBufTexture__dtor, OID__FreeObject	DAT_	46
00501730	CLTShell__Helper_00501730		DAT_ g_	50
0053d3a0	CLTShell__Helper_0053d3a0	CHud__Helper_004f27e0		22
005492d0	CLTShell__Helper_005492d0	CLTShell__Helper_004a25c0		16
00549310	CLTShell__Helper_00549310	CMemoryManager__DumpStats	g_	29
00423910	CMeshPart__Helper_00423910	DXMemBuffer__ReadBytes		21
00423960	CMeshPart__Helper_00423960	DXMemBuffer__ReadBytes		18
00494b00	CMeshPart__Helper_00494b00	CMCBuggy__Helper_0056e170	DAT_	24
00494b50	CMeshPart__Helper_00494b50			18
004950f0	CMeshPart__Helper_004950f0	CMCBuggy__Helper_0056e170	DAT_	26
004957d0	CMeshPart__Helper_004957d0	CMCBuggy__Helper_0056e170	DAT_	31
00496250	CMeshPart__Helper_00496250	CMCBuggy__Helper_0056e170	DAT_	14
00496270	CMeshPart__Helper_00496270			22
004968f0	CMeshPart__Helper_004968f0		DAT_	14
00496910	CMeshPart__Helper_00496910		DAT_	25
00496f60	CMeshPart__Helper_00496f60	CMCBuggy__Helper_0056e170	DAT_	18
0049c250	CMeshPart__Helper_0049c250	CMCBuggy__Helper_0056e170	DAT_ PTR_	32
0049c2d0	CMeshPart__Helper_0049c2d0			18
0049f600	CMeshPart__Helper_0049f600	CMCBuggy__Helper_0056e170	DAT_ PTR_	28
0049f670	CMeshPart__Helper_0049f670	CMCBuggy__Helper_0056e170	DAT_ PTR_	42
004aa3f0	CMeshPart__Helper_004aa3f0			19
00409950	CMonitor__Helper_00409950	CBattleEngine__Helper_004fd3d0, CGenericActiveReader__SetReader, CMonitor__Helper_004e1260, CMonitor__Helper_004e1800, CMonitor__Helper_004e1880, CMonitor__Helper_004e1ab0, CMonitor__PlayRandomSampleFromChain	DAT_	145
0040d1a0	CMonitor__Helper_0040d1a0	OID__Helper_0055dcb0	DAT_	22
0040ef20	CMonitor__Helper_0040ef20	CParticleManager__CreateEffect, CParticleManager__RemoveFromGlobalList, CStaticShadows__Helper_0047eb80, CWorldPhysicsManager__Helper_004cb040	DAT_	90
0047ec60	CMonitor__Helper_0047ec60	CRT__RoundDoubleWithFpuChecks	0x3f800000 DAT_	89
004e1260	CMonitor__Helper_004e1260			30
004e1800	CMonitor__Helper_004e1800	CGenericActiveReader__SetReader, CSoundManager__StopAndReleaseChannel	DAT_	30
004e1880	CMonitor__Helper_004e1880			22
004e1ab0	CMonitor__Helper_004e1ab0			28
004062d0	CSquadNormal__Helper_004062d0			41
0040d2c0	CSquadNormal__Helper_0040d2c0			42
0044c720	CSquadNormal__Helper_0044c720			22
0044c810	CSquadNormal__Helper_0044c810		DAT_	63
00477cb0	CSquadNormal__Helper_00477cb0	CSquadNormal__Helper_004e6680, CSquadNormal__Helper_004fb3d0, CSquadNormal__Helper_004fb780, CSquadNormal__Helper_004fb7e0, CSquadNormal__Helper_004fb840	DAT_	158
004e4480	CSquadNormal__Helper_004e4480			18
004e6680	CSquadNormal__Helper_004e6680			38
004e97e0	CSquadNormal__Helper_004e97e0	CGenericActiveReader__SetReader, CSquadNormal__Helper_0040d2c0, Vec3__Add, Vec3__SetXYZ	DAT_	70
004fb3d0	CSquadNormal__Helper_004fb3d0	CSquadNormal__Helper_004e4480, CSquadNormal__Helper_0050a0b0, CWorld__Helper_0047ea20	DAT_	77
004fb780	CSquadNormal__Helper_004fb780	CUnit__Helper_005096a0		29
004fb7e0	CSquadNormal__Helper_004fb7e0	CUnit__Helper_005099a0		29
004fb840	CSquadNormal__Helper_004fb840	CGenericActiveReader__SetReader, CSquadNormal__Helper_004e4480, CSquadNormal__Helper_0050a0b0, CStaticShadows__Helper_0047eb80, CUnit__Helper_004e43d0, CUnit__Helper_004e4420, CUnit__Helper_005096a0, CUnit__Helper_005099a0, CUnit__Helper_00509f70, CUnit__Helper_0050a0d0	DAT_	187
004fd570	CSquadNormal__Helper_004fd570			34
004fe500	CSquadNormal__Helper_004fe500	CGenericActiveReader__SetReader, CSPtrSet__Remove	DAT_	16
004ffdd0	CSquadNormal__Helper_004ffdd0	CGenericActiveReader__SetReader, CSquadNormal__Helper_004fb840		16
0050a0b0	CSquadNormal__Helper_0050a0b0			14
00402010	CUnit__Helper_00402010		DAT_	12
004097a0	CUnit__Helper_004097a0		DAT_	42
00428b50	CUnit__Helper_00428b50	CGenericActiveReader__SetReader		27
004416e0	CUnit__Helper_004416e0		DAT_	30
004cb0b0	CUnit__Helper_004cb0b0			23
004e43d0	CUnit__Helper_004e43d0		DAT_	19
004e4420	CUnit__Helper_004e4420			11
004f39b0	CUnit__Helper_004f39b0			15
005096a0	CUnit__Helper_005096a0	CEngine__CanUseBallisticArcNoLocks, OID__Helper_0044a850	DAT_	106
005099a0	CUnit__Helper_005099a0	CEngine__CanUseBallisticArcNoLocks, OID__Helper_0044a850	DAT_	109
00509f70	CUnit__Helper_00509f70		DAT_	83
0050a0d0	CUnit__Helper_0050a0d0			11
0050a290	CUnit__Helper_0050a290			15
00511510	CUnit__Helper_00511510			43
004239b0	CWorld__Helper_004239b0			11
004780f0	CWorld__Helper_004780f0			29
0047ea20	CWorld__Helper_0047ea20			34
00490f50	CWorld__Helper_00490f50		DAT_ g_	79
004bc8d0	CWorld__Helper_004bc8d0	CMonitor__Helper_0047ec60, CWorld__Helper_0047ea20, CWorld__SetOrClearOccupancyBit, OID__Helper_0055dcb0, SQRT__Wrapper_004026b0	DAT_	118
